Proteins	Genes	Cerebellum	Frontal_Cortex	Heart	Kidney	Liver	Lung	Spleen	Amygdala	Entorhinal_Cortex	Gut	Olfactory_Bulb	Striatum	Thalamus	Substantia_Nigra
Q9JJT9	Phax	12.28818104	12.03903874	NA	11.23265813	11.14887645	11.65613147	12.41161634	11.45892807	11.79400392	12.02091438	11.76556252	11.46968465	11.31057262	10.86549373
Q9JJU8	Sh3bgrl	16.51346567	16.69619064	16.63582938	16.31443768	17.30049459	18.29826934	17.98951894	16.94445586	16.99066795	17.46128791	17.76890079	16.80747198	16.89533454	16.71996744
Q9JJV1	Cryba2	8.771154412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9JJV2	Pfn2	19.53386432	20.01714235	16.21824931	16.42556886	12.47734759	15.131816	14.48363822	20.05112013	20.06007717	14.9942937	19.72473658	19.97030469	19.94664752	19.9034957
Q9JJV4	Cacng4	10.90004518	10.61667607	NA	NA	NA	NA	NA	12.10705894	11.04708704	NA	11.50902028	13.01616186	12.23206523	11.75604846
Q9JJV5	Cacng3	12.45847478	15.77562293	NA	NA	NA	NA	NA	13.93049676	15.6213608	NA	13.87055819	15.20864739	13.14373666	12.7717541
Q9JJW0	Pxmp4	10.37222182	10.02825568	12.60913426	15.97937379	16.1573811	12.95231898	11.17924267	10.48252178	10.5086566	9.159014155	11.26839813	10.58283715	10.67111379	10.32926316
Q9JJW5	Myoz2	NA	NA	19.51863868	NA	NA	14.46420599	NA	7.593474827	NA	NA	11.88556235	NA	NA	NA
Q9JJX6;Q9JJX6-3	P2rx4	9.56823348	NA	NA	13.28918367	12.63555812	13.23569072	14.27459458	NA	NA	13.12696127	10.58576782	NA	9.091057663	8.432625935
Q9JJX7	Tdp2	11.46278949	10.74448269	8.333841178	10.62253488	10.20570451	10.34969272	11.52188011	9.664601648	10.85506455	12.25693211	10.70831352	10.38905201	10.52963301	9.605826306
Q9JJY3	Smpd3	13.3374422	14.11691502	9.438781656	NA	6.44551389	7.988223391	7.454713693	14.30835647	14.62719509	13.90500916	13.30193127	15.77306789	14.44316938	14.91797364
Q9JJY4	Ddx20	11.56770264	11.17586833	8.233915518	10.64915673	10.7848235	9.851319836	11.56315418	10.86106109	11.57660643	11.41835482	11.2300535	11.13749253	11.18982988	10.61907871
Q9JJZ2	Tuba8	18.61589365	19.79144544	18.86267289	18.21489608	17.38614901	19.09129727	18.96138492	18.06788121	18.00729525	16.16963571	19.25205233	18.29108461	19.37582784	18.55342431
Q9JJZ4	Ube2j1	13.31783625	13.05108418	11.3276159	12.25035086	13.30957501	12.64107493	13.77450918	12.90934963	12.86791722	13.87640972	12.21298794	12.4091407	12.93521739	13.1093874
Q9JJZ6	Klf13	10.69892364	10.64581865	7.936406786	9.134962617	10.57441986	11.1255936	12.37266905	9.578687131	10.7145075	11.29578383	10.28084429	9.908844687	7.081011367	NA
Q9JK23	Psmg1	13.78498322	13.39519306	13.22852743	13.48307614	14.26092434	13.17361744	14.1189629	13.68027907	13.60131567	14.40327602	13.72664598	13.78346165	13.98456375	13.77248114
Q9JK24	Ppp2r3c	NA	NA	NA	NA	NA	NA	7.219585591	NA	NA	NA	NA	NA	NA	NA
Q9JK30;Q9JK30-2	Orc3	NA	NA	8.510982742	6.461855599	NA	7.963979158	9.777265427	NA	5.840876954	8.834009285	6.093637056	NA	NA	NA
Q9JK38	Gnpnat1	10.68147131	10.49264333	9.213037495	14.70554804	15.99304669	14.52901154	14.82048969	11.97111385	10.19962015	14.80840134	12.41096731	10.82201911	12.30500138	11.38034204
Q9JK39-2	Btnl10	NA	NA	12.6103492	NA	NA	11.91085802	11.84209473	NA	NA	NA	5.870004674	NA	NA	NA
Q9JK42	Pdk2	16.36831173	16.28499978	18.38227526	16.53661117	15.87833939	14.53848518	12.73970248	15.97338638	16.16308575	14.72057345	15.4829646	15.78962621	15.77436726	15.93511733
Q9JK48	Sh3glb1	14.86602621	15.27866802	15.79587545	13.86058823	13.68990007	15.62608364	15.46490528	15.12239319	15.23987765	14.82134335	14.96127398	15.24734547	14.85509072	15.06657293
Q9JK53	Prelp	14.0635821	12.26925242	16.32519576	16.46949769	15.70377015	18.34772062	16.66081851	12.45616177	14.50766569	17.14971957	14.36080563	8.487123189	7.414840009	10.85748905
Q9JK81	Myg1	14.92748582	14.34247587	14.57034951	15.2910125	15.45379354	14.71859393	15.61053646	14.88407975	14.70138691	14.86574311	15.09407329	14.86838022	15.05715097	14.79779038
Q9JK83;Q9JK83-2	Pard6b	9.689656589	9.843586221	9.011285452	13.32054301	10.8585933	14.82140778	9.926872308	9.780325128	10.70138509	12.18306343	11.47751704	12.13002076	10.50867777	10.25085124
Q9JK84	Pard6g	NA	NA	NA	NA	NA	8.918669299	NA	NA	NA	NA	NA	NA	NA	NA
Q9JK91	Mlh1	NA	NA	NA	12.40787109	NA	NA	9.869606073	NA	NA	10.4306231	7.504316236	6.322902327	NA	NA
Q9JK92	Hspb8	13.69502056	12.47551228	17.79574289	NA	15.26632631	14.90062463	11.59467224	12.67081199	11.65986974	13.75177735	11.78476816	10.5970079	12.176682	12.41639072
Q9JK97;uc012dkl.1	Kcnq4;	8.111686229	9.138535726	NA	NA	NA	NA	NA	9.619398258	9.705199511	NA	8.299644036	9.793090886	9.665857135	9.691276417
Q9JKA5	Gpa33	NA	NA	NA	NA	NA	NA	9.126148701	8.596456373	NA	16.56829695	NA	NA	NA	NA
Q9JKB1	Uchl3	16.37804696	16.44204268	17.05610976	15.8354058	16.53392938	15.39387284	17.02213876	16.61222463	16.5281442	15.90779873	16.04842291	16.75433184	16.66251862	16.666334
Q9JKB3	Ybx3	14.06815116	13.16340971	16.09355982	16.14781513	16.24625	15.79396075	15.68507834	13.25476367	13.25654102	17.67661211	14.05280021	13.45871073	13.07860492	13.54301745
Q9JKC6	Cend1	20.08065407	20.05710225	12.18474769	8.883462485	NA	10.6271343	8.993814215	20.38166837	20.05148114	12.9602458	19.85232198	20.13547064	20.24217552	20.62135891
Q9JKC7	Ap4m1	9.767601568	10.00266165	8.286843987	10.11571443	10.32054515	10.46218382	11.24459372	11.29574141	12.24588086	11.61071779	11.80355838	11.50229514	12.14859222	11.54987323
Q9JKC8	Ap3m1	14.79779715	15.26665199	12.21746329	14.46144914	14.09840052	14.07415923	14.2334171	15.3069416	15.13108773	14.99857126	15.25975858	15.05185828	15.22397057	15.15619728
Q9JKD3	Scamp5	18.5830638	19.44335907	13.13770778	14.20039009	NA	12.14852614	12.29748042	19.18541529	19.36065317	13.6017456	18.8652636	19.20715114	19.14712703	18.92144492
Q9JKD8	Tbx21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.710816416	NA	NA	NA
Q9JKF1	Iqgap1	13.47658781	13.49324998	15.31967079	16.23920872	15.0040594	18.11276501	18.12069974	13.56414129	13.31562431	17.29072797	14.46364238	13.27108536	13.10443882	13.2362734
Q9JKF4;Q9JKF4-2	Clec6a	NA	NA	NA	NA	NA	NA	13.57358233	NA	NA	NA	NA	NA	NA	NA
Q9JKF6	Nectin1	13.7990927	14.60515703	NA	12.581911	12.26336509	12.05900604	10.72977566	14.52860593	14.68462035	11.83363169	14.65503954	14.26130948	14.29231053	13.88818947
Q9JKF7	Mrpl39	13.84225227	14.31897129	16.97242592	15.00881994	14.72898474	12.90673495	13.69251733	14.3887859	14.19634902	15.0266202	14.35776544	14.28863913	15.10607182	14.41049452
Q9JKJ9	Cyp39a1	NA	NA	8.238469095	9.14505005	12.68574928	13.58181257	10.06392503	NA	NA	10.86021021	9.261313303	NA	NA	NA
Q9JKK0	Rcan3	12.28180833	9.86306689	NA	6.640729057	NA	NA	7.886380319	12.54414381	11.59315585	7.151128869	12.15805331	12.24886701	12.75802687	12.33414007
Q9JKK1;Q9JKK1-2	Stx6	14.6757106	15.35531699	11.68318902	13.43775359	10.73486314	13.69859646	13.88575857	15.06065484	15.20709602	13.62292443	14.74175332	15.00417823	14.98723712	14.84580585
Q9JKK7	Tmod2	17.24953669	17.60108596	10.48986443	11.02814731	10.36132288	15.50939489	12.90049382	17.6161554	17.67867486	13.67631457	17.2647519	17.64319996	17.49123645	17.66118236
Q9JKL4	Ndufaf3	14.69794983	14.53671278	16.35845424	14.72385754	15.12093677	12.80625724	13.92428261	14.91850744	14.7188298	13.04943876	14.84089218	15.04065182	14.74180634	15.00923538
Q9JKL5	Tesc	14.74734559	14.57473089	13.66474442	12.91142581	NA	NA	11.40947439	14.44812337	14.40524973	10.78583827	14.52713872	15.20499405	14.73104358	15.15580435
Q9JKM7	Rab37	16.16938568	17.90468955	17.29751212	16.52277023	17.06964733	17.81511612	17.5229291	17.91130401	17.7760814	15.37208234	17.70967804	17.8174194	17.87361505	17.81295409
Q9JKN1	Slc30a7	12.14295179	11.4384081	13.7966876	13.15473251	13.48230953	14.15043639	13.81370188	11.3938904	11.69960948	13.48026423	11.44221233	11.5512342	11.38129842	11.15046528
Q9JKN5	Olig1	8.32792538	8.322309619	NA	NA	NA	NA	NA	11.04037097	7.877348964	NA	6.913362268	8.554939635	10.21179877	10.42012873
Q9JKN6	Nova1	15.91281608	15.13804764	8.440327864	9.040250834	NA	12.30722357	11.13908531	15.83385692	15.18208961	8.944452125	14.82751323	14.83422502	15.95611725	16.07746978
Q9JKP7	Pole3	NA	NA	NA	10.29346491	NA	10.60879332	12.52969364	NA	NA	12.81889808	10.91748776	NA	9.84941473	NA
Q9JKP8	Chrac1	9.603201868	NA	11.86400127	12.02362959	11.64328677	11.93372616	13.5710819	NA	NA	12.6682363	11.80240509	11.99075536	6.725398057	NA
Q9JKR6	Hyou1	16.72180897	16.83615206	17.53379806	16.47563537	17.9634999	16.88488722	17.84241339	16.99111806	16.68044958	18.13665286	16.52353317	16.65038435	16.75015335	16.47954115
Q9JKS4-3	Ldb3	11.82930909	11.33484837	20.81525152	12.72275117	10.97963574	15.76329145	12.6426129	11.10044123	10.85752128	15.62374203	12.05097679	12.00012378	10.09954084	12.5632048
Q9JKS4-6	Ldb3	NA	NA	16.93128408	NA	NA	11.45898399	NA	NA	NA	NA	NA	NA	NA	NA
Q9JKV1	Adrm1	15.48223211	15.4866338	15.81711218	15.74152722	16.71014741	15.91628086	16.08724555	15.83466236	15.80807052	16.19523824	15.61454027	15.78868802	15.8905235	15.78661143
Q9JKV5;uc007gdz.1	Scamp4;	14.74268145	15.39436328	13.36078675	13.02787953	13.70625167	13.90463355	14.00695701	14.88808621	15.12563331	14.23209671	14.77694833	15.34023116	15.13519911	14.82680019
Q9JKW0	Arl6ip1	16.85252969	15.63479658	13.16818633	18.49197047	18.81947464	16.72103941	16.59074018	17.36014853	16.25734235	16.06128988	15.48747551	16.67825344	17.05793909	17.94919653
Q9JKX3;uc009acy.2	Tfr2;	7.019076117	NA	NA	NA	13.56811254	NA	8.847575416	NA	NA	9.513613891	NA	7.453032606	NA	NA
Q9JKX4	Aatf	NA	10.06592297	9.428438198	8.982477487	9.370185008	9.552203891	12.91985198	7.500553505	9.788238068	12.07028688	9.408359672	7.973752763	8.77543874	6.642730889
Q9JKX6	Nudt5	15.33360416	15.07935123	13.99667304	15.72813657	15.48125987	15.28669412	16.08553331	14.92981842	14.95688347	16.24781214	15.03857108	14.99342589	14.87450731	15.29141344
Q9JKY0	Cnot9	13.65267784	13.5479873	12.79837175	13.25213095	13.11168268	13.72348099	14.26138441	13.54770535	13.53696697	13.76278889	13.66489907	13.11415027	13.06452513	12.68155078
Q9JKZ2	Slc5a3	12.18981573	11.25814157	7.758057079	13.22171286	NA	NA	NA	11.78111303	11.52771036	9.060704688	11.31739805	11.15976846	12.02425621	11.65679887
Q9JL04	Fmn2	12.93996299	13.34765616	10.45649841	9.632370376	9.899304924	9.326468079	8.894467805	13.05569899	13.26939861	NA	13.0721275	13.19174457	13.33970768	13.05738167
Q9JL16-2	Isg20	NA	NA	8.747906744	9.131979582	NA	13.58799297	14.23659056	NA	NA	12.65932794	NA	NA	NA	NA
Q9JL26-2	Fmnl1	7.968858685	8.135192551	NA	NA	NA	NA	NA	8.038515969	8.596590406	NA	8.088003509	7.997315173	7.1888789	7.274328256
Q9JL27	Fut2	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.711212264	NA	NA	NA	NA
